company,added_date,description,website,headcount,employees,country,region,city,url_slug,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_date,last_funding_type,last_funding_lead_investor,investor_type,investors,investment_count,company_address,growth_3mo_headcount,growth_6mo_headcount,growth_1yr_headcount,growth_2yr_headcount,growth_3yr_headcount,growth_4yr_headcount,growth_5yr_headcount,growth_3mo_web_traffic,growth_extra_1,growth_extra_2,source_page,source_row
Crofarm,"Jul 28, 2025 12.57 PM",company that connects farmers with __. Crofarm Agriproducts Pvt Ltd is an agri-tech,crofarm.com,"501-1,000",,India,Haryana,Gurugram,crofarm,Private Equity,2016,29.3,25.5,"Dec 12, 2021",Series,WestBridge Capital,nla,India Accelerator,,"37 Arjun Marg; DLF Phase 1; Gurgaon; Haryana 122002, IN",~8 %,-12%,-16%,-16 %,-10%,2%,66 %,150%,,,2,184
Mushiny Intelligence,"Jul 28, 2025 12.57 PM",Mushiny is a robotics company specializing in intelligent logistics solutions: They provide .,mushiny.com,201-500,,China,Jiangsu,Suzhou,mushiny-,Venture Capital,2016,,,"Jul 13, 2022",Series,topping-capital com,nla,topping-capital.co,,"Suzhou Industry Park Xingpu Road #333; Suzhou, Jiangsu; CN",~1%,33%,3%,6%,54%,192%,310%,446%,,,2,186
Ankorstore,"Jul 28, 2025 12.57 PM",connects independent brands with retailers_. wholesale distributor that,ankorstore.com,"501-1,000",242,France,ile-De-France,Paris,arikorstore,Private Equity,2019,421.8,283.3,Jan 2022,Series,Aglae Ventures,nla,bondcap.com,,"Paris, Paris 75002, FR",-9%,-16%,-29%,29%,-51%,-68 %,81%,796%,~24%,,2,190
ShippyPro,"Jul 28, 2025 12.57 PM",ShippyPro is a shipping software provider that offers solutions for commerce businesses .,shippypro.com,51-200,,Italy,Tuscany,Florence,shippypro,Venture Capital,2016,20,,Nov 2023,Series,Five Elms Capital,nla,Five Elms Capital,20,"Via delle Cascine, 35; Florence, Tuscany 50144, IT",-4%,-8%,4%,-14%,1%,64%,245%,6%,,,2,191
Outbuild,"Jul 28, 2025 12.57 PM",Outbuild is specializes software company that construction scheduling and:_,outbuild.com,51-200,,United States,(USA),California,San Francisco,Venture Capital,2021,14.8,,"Nov 11, 2024",Series,Bgv,nla,Manutara Venture:,,"2021 Fillmore St; San Francisco, California 94115, US",9%,27%,84%,7%,,,,,,,2,195
dtzumitiXTJRRA,"Jul 28, 2025 12.57 PM","Beijing Winchannel Software Technology Co , Ltd. is a software solutions provider _",winchannel.net,51-200,,China,Beijing,Haidian,"%e5%8c""97%e4_",Venture Capital,2000,,,"Nov 15, 2010",Series,Intel Capital,nla,Intel Capital,,"XRE, 1L5, CN",33%,1%,4%,~24%,~36%,-19%,,,,,2,196
Khulal,"Jul 28, 2025 12.57 PM",Khula digital solutions for farmers and buyers an agri-tech platform that provides Ath;;,khula.co,11-50,,South Africa,Gauteng,Johannesburg,ktiulaagriculturete __.,Venture Capital,2016,8.7,6.8,"Mar 2, 2025",Series,Absa Group,nla,AECI Limited,,"Bompas Road Dunkeld West; Johannesburg, Gauteng 2191,",21%,31%,78%,78 %,66 %,85 %,138 %,455%,-14%,,2,197
Waitwhile,"Jul 28, 2025 12.57 PM",Waitwhile is a technology company that provides customer flow management__,waitwhile.com,11-50,,United States,(USA),California,San Francisco,Venture Capital,2017,12,,"Feb 3, 2021",Series,Crv,nla,Crv,12,"548 Market St; San Francisco, California 94104,US",5%,8%,8 %,15%,15 %,2%,-11%,123%,166%,-19%,3,10
Rewaa,"Jul 28, 2025 12.57 PM",ely is a technology company specializing in retail management software solutions It_,rewaatech.com,201-500,475,Saudi Arabia,Riyadh,Riyadh,rewaa-company,Venture Capital,2018,27.8,48,"Aug 27, 2023",Series,Derayah Venture Capital,nla,Svc,48,"Anas Bin Malek Road; Al Malqa, Riyadh 11564, SA",-5%,~7%,7%,15%,98%,295%,058%,059%,2%,,3,11
Makersite,"Jul 28, 2025 12.57 PM",Makersite is in product lifecycle intelligence and_ software company specializing,makersite.io,51-200,,Germany,Baden -,Wirttemberg,Stuttgart,Venture Capital,2018,,,"Oct 17, 2022",Series,Hitachi Ventures,nla,Hitachi Ventures,,"KonigstraBe 43b; Stuttgart; Baden-Wiirttemberg 70173, DE",13%,32%,64%,154%,431%,963%,-20%,,,,3,13
Eupry,"Jul 28, 2025 12.57 PM",Eupry is temperature compliance solutions for__ company that specializes in,eupry.com,51-200,,Denmark,nla,Copenhagen,elpry-aps,Venture Capital,2014,27.6,23.8,"Dec 19, 2024",Series,Chr: Augustinus Fabrikker,nja,Chr: Augustinus F:,,"~Hejrevej 28; 1; Copenhagen N, Capital Region of Denmark 2400,",17%,23%,35%,40%,110%,207%,-24%,,,,3,15
CloudCart,"Jul 28, 2025 12.57 PM",CloudCart is an eCommerce platform that provides comprehensive solutions for_,cloudcart.com,11-50,,Bulgaria,Sofia City,Sofia,cloudcart-Ilc,Venture Capital,2016,,,"Dec 19, 2021",Series,Elevator Ventures,nja,Elevator Ventures,,"ulitsa Panorama Sofia 5; Sofia, Sofia 1766,BG",5%,-9%,9%,-18%,-18 %,~4%,17%,14%,269%,-10%,3,24
Pietra,"Jul 28, 2025 12.57 PM",Pietra is an e-commerce platform for entrepreneurs__ technology company that provides,pietrastudio.com,11-50,106,(USA),United States,New York,New York,Venture Capital,2019,36,,"Mar 10, 2023",Series,Abstract,nja,Dreamers VC,36,"New York, NY 11201,US",3%,8 %,8%,13%,~47%,265%,077%,960%,,,3,26
FreightAmigo,"Jul 28, 2025 12.57 PM",FreightAmigo is a logistics company that specializes in supply chain management an_.,freightamigo.com,51-200,,S.A.R,Hong Kong,nla,nla,Venture Capital,2017,,,"Aug 9, 2020",Series,nja,nja,nja,,Tong;,9%,27%,64%,360%,-2%,,,,,,3,27
Khetika,"Jul 28, 2025 12.57 PM",SuperZop is an agri-tech company that connects farmers to retailers through a.,superzop.com,51-200,,India,Maharashtra,Mumbai,sliperzop,Private Equity,2016,5.2,,"Sep 19, 2021",Series,Incofin Investment Manage,nla,SIDBI Venture Cap,,"Mumbai, IN",5%,13%,20%,26%,70%,262%,346%,204%,,,3,29
zeroheight,"Jul 28, 2025 12.57 PM",zeroheight is a design system management platform that provides tools for design and__,zeroheight.com,11-50,,e United Kingdom,(UK),England,London,Venture Capital,2015,11.2,,"Aug 2, 2021",Series,Adobe,nla,Newable,,"London, England, GB",1%,188%,733%,17%,,,,,,,3,30
TallOrder Solutions,"Jul 28, 2025 12.57 PM",TallOrder Solutions Pty (Ltd) is TallOrder Solutions Pty (Ltd) is a company that provides point of sale solutions tailored fort__. provides point of sale solutions tailored fort_. company that,tallorderpos.com,11-50,,South Africa,Western Cape,Paarl,cloudonemobi,Other Financial,2010,,,"Jan 24,2022",Series,Series /=,Investec Business Advisor},nla,,"8005, ZA",2%,15%,27%,48%,,,,,,,3,36
REM People,"Jul 28, 2025 12.57 PM","Jul 28, 2025 12.57 PM Rem People is Rem People is a retail analytics company based in Istanbul and__ retail technology and technology and",rempeople.com,201-500,190,Turkey,istanbul,Istanbul,rem-people,Other Financial,2014,25,,"Dec 27, 2022",Series,Series A=,ethosasset com,Other Financial,25,"Now Plaza K:6 D.55; Istanbul, Sisli 34394, TR",3%,8 %,-8%,-8 %,6%,6 %,55%,77%,196%,196 %,3,38
OrderStorm Inc,"Jul 28, 2025 12.57 PM",specializing in unified commerce solutions_. OrderStorm is a technology company,orderstorm.com,51-200,,United States,(USA),Colorado,Littleton,Venture Capital,2008,0.8,0.5,"Mar 4, 2019",Series,Rockies Venture Club,nla,Rockies Venture C,,"Mar 4, 2019",,,,,,,,,,,3,43
Replenium,"Jul 28, 2025 12.57 PM",specializing in Replenium Inc. is a technology provider commerce solutions: They_.,replenium.com,51-200,,(USA),United States,Washington,Seattle,Other Financial,2015,,,"Nov 6, 2019",Series,Glp,nla,Glp,,"568 Ist Ave S; Seattle, Washington 98104, US",8%,-21%,21%,~21%,45%,~54%,-56 %,-35%,-18 %,,3,44
Workpath,"Jul 28, 2025 12.57 PM",Workpath is a business solutions provider specializing in strategy execution and__,workpath.com,51-200,,Germany,Bavaria,Munich,workpathhq,Venture Capital,2017,12.4,12.4,"Sep 8, 2021",Series,Capnamic,nla,Iris,,"RidlerstraBe 39; Munich, Bavaria 80339,DE",2%,~2%,~20%,-20%,56%,-68 %,-22%,46%,8 %,,3,45
EXA@#t WRTJRA&,"Jul 28, 2025 12.57 PM",specializing in retail technology solutions_ Burgeon Technology is a software company,burgeon.cn,201-500,,China,Shanghai,Minhang,e4%b8%8a%e6_,Venture Capital,1990,15.1,14.7,"Jul 30, 2018",Series,Calor Capital,nla,Fengshion Capital,,"Jul 30, 2018",~1%,5%,6 %,16 %,96%,,,,,,3,46
Planet FWD,"Jul 28, 2025 12.57 PM",Planet FWD is a consulting firm specializing in decarbonization solutions for businesses in__.,planetfwd.com,11-50,,(USA),United States,California,San Francisco,Venture Capital,2019,15.2,,"May 25,2022",Series,Acre Venture Partners,nla,Concrete Rose Ca,,"San Francisco, US",2%,-7%,7%,5%,40%,216 %,850%,-30%,,,3,47
Diginex,"Jul 28, 2025 12.57 PM",Diginex is Diginex is a sustainability software provider that specializes in ESG reporting and supply_ sustainability software provider diginex -,solutions.com,51-200,,S.A.R,Hong Kong,nla,nla,Public,2017,,,"Jul 28, 2021",Series,0 Hearst Magazines,Hearst Magazines,nja,,Kong;',,,,,,,,,,,3,77
Hyperlounge,"Jul 28, 2025 12.57 PM",44-41 0/0[42l2Tl is a data analysis service company that provides subscription-based_,hyperlounge.ai,51-200,,South Korea,Seoul,Seoul,Iperlounge,Venture Capital,2020,7.8,7.8,,Series,Altara Ventures,nja,rkpsg com,,"485443374452 130; 4s2itji2 14012; 48544,",-8%,-32%,32%,30%,40%,133%,,,,,3,88
Meal Ticket,"Jul 28, 2025 12.57 PM",Meal Ticket is a software company that provides specialized solutions for foodservi__.,mealticket.com,51-200,,United States,(USA),Idaho,Boise,Venture Capital,2010,,,"Jul 14,2015",Series,Techstars,Corporate,Techstars,,"1555 SHORELINE DRIVE; #150; BOISE, Idaho 83702,US",3%,10%,6%,51%,127%,156%,,,,,3,93
4intelligence,"~Jul 28, 2025 12.57 PM",4intelligence is consulting firm that specializes in providing_. data analytics and,4intelligence.ai,51-200,,Brazil,nla,nla,4intelligence-data-,Other Financial,2016,,,"Jun 21, 2021",Series,Airborne Ventures,nja,Airborne Ventures,,"Alameda Santos; 2400; Alameda Santos, 2400, Jardim Paulista ,",5%,-2%,~22%,-22%,~34%,-23%,1%,28%,,,3,95
Smacc,"Jul 28, 2025 12.57 PM",SMACC is a software company that specializes in providing enterprise resource__,smacc.com,51-200,,Saudi Arabia,Riyadh,Riyadh,srnaccsoftware,Venture Capital,1980,,,"Dec 31, 2016",Series,nja,nja,nja,,"Eastern Ring Road, Exit 14, Al Riyan Area Riyadh, Saudi Arabia;",23%,94%,117%,105%,516 %,750%,-18%,,,,3,96
Praktis,"Jul 28, 2025 12.57 PM",Praktis is a supply chain solutions provider that specializes in manufacturing and logisti__,praktis.co,201-500,210,Indonesia,Jakarta,South Jakarta,plakasa-triputra -,Venture Capital,2017,20,,"Apr 30,2023",Series,East Ventures,nja,East Ventures,20,"Jakarta, ID",8 %,-10%,1%,9%,165%,600%,400%,19%,,,3,99
Ugaoo,"Jul 28, 2025 12.57 PM","Ugaoo is an online plant store specializing in a wide range of gardening products, including_.",ugaoo.com,51-200,147,India,Maharashtra,Pune,uilaoo,Venture Capital,2015,5.6,,"Nov 11, 2024",Series,DSG Consumer Partners,nla,v3 Ventures,,"Maharashtra 411045, IN",5%,10%,31%,96%,286%,600%,818%,,,,3,104
Mappedin,"Jul 28, 2025 12.57 PM",Mappedin Inc_ is a mapping software provider specializing in indoor mapping and navigatio_.,mappedin.com,51-200,95,FI Canada,Ontario,Waterloo,mappedin,Private Equity,2011,16.1,8.6,"Feb 21, 2023",Series,Channel Equity Partners,nla,Channel Equity Pa,,"14 Erb St W; Waterloo, Ontario NZL 1S7, CA",~1%,2%,-7%,28%,48%,86 %,,,,,3,105
